frame,speed_kmh
0,0.0
1,3.7
2,3.6
3,3.5
4,3.4
5,3.2
6,3.1
7,2.8
8,2.6
9,2.4
10,2.2
11,2.0
12,1.8
13,1.7
14,1.7
15,1.6
16,1.5
17,1.4
18,1.3
19,1.2
20,1.1
21,1.1
22,1.1
23,1.1
24,1.1
25,1.1
26,1.0
27,1.0
28,1.0
29,0.9
30,0.8
31,0.9
32,0.9
33,1.0
34,1.2
35,1.5
36,1.8
37,2.2
38,3.0
39,3.9
40,5.0
41,5.7
42,6.2
43,6.6
44,6.7
45,6.7
46,6.6
47,6.4
48,6.2
49,5.9
50,5.6
51,5.3
52,4.9
53,4.5
54,4.1
55,3.8
56,3.5
57,3.2
58,3.0
59,2.7
60,2.5
61,2.3
62,2.1
63,1.9
64,1.8
65,1.7
66,1.6
67,1.5
68,1.5
69,1.4
70,1.3
71,1.2
72,1.2
73,1.1
74,1.1
75,1.0
76,1.0
77,0.9
78,0.9
79,0.9
80,0.8
81,0.8
82,0.9
83,0.9
84,0.8
85,0.9
86,1.0
87,1.0
88,1.1
89,1.1
90,1.2
91,1.3
92,1.3
93,1.4
94,1.3
95,1.4
96,1.4
97,1.5
98,1.5
99,1.5
100,1.5
101,1.5
102,1.6
103,1.6
104,1.5
105,1.5
106,1.5
107,1.5
108,1.5
109,1.5
110,1.5
111,1.4
112,1.3
113,1.3
114,1.4
115,1.5
116,1.6
117,1.7
118,1.9
119,2.1
120,2.2
121,2.4
122,2.5
123,2.6
124,2.7
125,2.7
126,2.7
127,2.7
128,2.6
129,2.7
130,2.7
131,2.7
132,2.7
133,2.7
134,2.6
135,2.5
136,2.4
137,2.3
138,2.2
139,2.1
140,1.9
141,1.8
142,1.6
143,1.4
144,1.3
145,1.2
146,1.1
147,1.1
148,1.1
149,1.1
150,1.0
151,1.0
152,1.2
153,1.6
154,1.9
155,2.2
156,2.4
157,2.6
158,2.6
159,2.6
160,2.6
161,2.6
162,2.6
163,2.7
164,2.8
165,2.6
166,2.5
167,2.4
168,2.4
169,2.2
170,2.0
171,1.9
172,1.8
173,1.7
174,1.7
175,1.6
176,1.6
177,1.5
178,1.4
179,1.3
180,1.2
181,1.3
182,1.3
183,1.3
184,1.3
185,1.3
186,1.2
187,1.3
188,1.2
189,1.1
190,1.0
191,1.0
192,0.9
193,0.9
194,0.9
195,0.9
196,0.9
197,0.9
198,1.0
199,0.9
200,0.9
201,0.9
202,0.8
203,0.9
204,0.9
205,0.9
206,0.9
207,1.0
208,1.0
209,1.0
210,1.0
211,1.0
212,1.1
213,1.2
214,1.3
215,1.4
216,1.4
217,1.4
218,1.4
219,1.5
220,1.7
221,1.9
222,2.2
223,2.6
224,3.0
225,3.3
226,4.1
227,5.1
228,5.5
229,6.1
230,6.7
231,7.2
232,7.6
233,7.9
234,8.1
235,8.1
236,8.2
237,8.2
238,8.0
239,8.0
240,7.8
241,7.6
242,7.4
243,7.3
244,7.2
245,7.0
246,6.7
247,6.4
248,6.1
249,5.8
250,5.5
251,5.1
252,4.7
253,4.4
254,4.1
255,3.9
256,3.8
257,3.6
258,3.4
259,3.2
260,3.0
261,2.8
262,2.6
263,2.5
264,2.5
265,2.5
266,2.3
267,2.1
268,2.0
269,1.9
270,1.8
271,1.7
272,1.6
273,1.6
274,1.8
275,2.0
276,2.3
277,2.6
278,2.9
279,3.1
280,3.2
281,3.2
282,3.2
283,3.1
284,3.0
285,2.8
286,2.7
287,2.5
288,2.4
289,2.2
290,2.1
291,2.1
292,2.0
293,1.9
294,1.8
295,1.7
296,1.7
297,1.6
298,1.6
299,1.6
300,1.6
301,1.6
302,1.6
303,1.6
304,1.6
305,1.6
306,1.6
307,1.5
308,1.5
309,1.4
310,1.4
311,1.3
312,1.3
313,1.2
314,1.2
315,1.1
316,1.1
317,1.1
318,1.1
319,1.0
320,1.1
321,1.1
322,1.2
323,1.3
324,1.4
325,1.4
326,1.4
327,1.3
328,1.3
329,1.3
330,1.3
331,1.2
332,1.2
333,1.2
334,1.3
335,1.3
336,1.2
337,1.2
338,1.3
339,1.4
340,1.4
341,1.5
342,1.5
343,1.5
344,1.5
345,1.4
346,1.3
347,1.2
348,1.1
349,1.0
350,1.0
351,1.0
352,0.9
353,0.9
354,0.9
355,0.9
356,0.9
357,0.8
358,0.8
359,0.8
360,0.8
361,0.9
362,1.0
363,1.2
364,1.8
365,2.3
366,2.6
367,3.4
368,4.0
369,4.4
370,4.5
371,4.6
372,4.6
373,4.5
374,4.4
375,4.4
376,4.2
377,4.0
378,3.7
379,3.4
380,3.2
381,3.1
382,2.9
383,2.8
384,2.6
385,2.4
386,2.2
387,2.0
388,1.8
389,1.7
390,1.7
391,1.6
392,1.5
393,1.4
394,1.3
395,1.2
396,1.1
397,1.0
398,0.9
399,0.9
400,0.8
401,0.8
402,0.8
403,0.8
404,0.8
405,0.8
406,0.8
407,0.9
408,1.0
409,1.1
410,1.2
411,1.3
412,1.5
413,1.5
414,1.5
415,1.6
416,1.5
417,1.4
418,1.3
419,1.2
420,1.1
421,1.1
422,1.0
423,1.0
424,0.9
425,0.9
426,0.8
427,0.8
428,0.7
429,0.7
430,0.7
431,0.8
432,0.9
433,1.0
434,1.1
435,1.2
436,1.4
437,1.5
438,1.7
439,1.8
440,1.8
441,1.8
442,1.9
443,1.8
444,1.8
445,1.8
446,1.7
447,1.7
448,1.6
449,1.6
450,1.4
451,1.3
452,1.2
453,1.1
454,1.0
455,0.9
456,0.9
457,0.8
458,0.8
459,0.7
460,0.7
461,0.6
462,0.6
463,0.6
464,0.6
465,0.6
466,0.6
467,0.5
468,0.5
469,0.6
470,0.6
471,0.7
472,0.8
473,0.8
474,0.9
475,0.9
476,1.0
477,1.0
478,1.0
479,1.1
480,1.1
481,1.2
482,1.2
483,1.3
484,1.3
485,1.4
486,1.5
487,1.6
488,1.6
489,1.8
490,1.8
491,1.8
492,1.7
493,1.7
494,1.7
495,1.7
496,1.7
497,1.7
498,1.7
499,1.6
500,1.6
501,1.6
502,1.6
503,1.6
504,1.6
505,1.5
506,1.4
507,1.3
508,1.2
509,1.2
510,1.1
511,1.2
512,1.2
513,1.2
514,1.3
515,1.4
516,1.4
517,1.5
518,1.6
519,1.6
520,1.6
521,1.6
522,1.6
523,1.5
524,1.6
525,1.7
526,1.8
527,2.0
528,2.1
529,2.3
530,2.3
531,2.3
532,2.2
533,2.1
534,2.0
535,1.9
536,1.9
537,1.9
538,1.9
539,1.9
540,2.0
541,2.0
542,1.9
543,1.9
544,1.9
545,1.9
546,1.9
547,1.8
548,1.8
549,1.8
550,1.9
551,2.0
552,2.1
553,2.2
554,2.2
555,2.2
556,2.2
557,2.1
558,2.1
559,2.0
560,1.9
561,1.7
562,1.6
563,1.5
564,1.4
565,1.4
566,1.3
567,1.2
568,1.2
569,1.1
570,1.0
571,1.0
572,0.9
573,0.8
574,0.7
575,0.7
576,0.7
577,0.7
578,0.7
579,0.8
580,0.9
581,1.2
582,1.4
583,1.5
584,1.7
585,2.2
586,2.6
587,2.8
588,2.9
589,2.9
590,2.9
591,0.0
592,2.7
593,0.0
594,2.6
595,2.4
596,2.2
597,2.0
598,1.9
599,1.7
600,1.5
601,0.0
602,1.4
603,1.3
604,1.2
605,1.2
606,1.2
607,1.4
608,1.6
609,1.9
610,2.1
611,2.4
612,2.5
613,2.5
614,2.4
615,2.2
616,2.0
617,1.9
618,1.7
619,1.6
620,1.5
621,1.4
622,1.3
623,1.2
624,1.1
625,1.2
626,1.2
627,1.3
628,1.3
629,1.4
630,1.4
631,1.5
632,1.5
633,1.6
634,1.6
635,1.8
636,1.8
637,2.0
638,2.2
639,2.3
640,2.2
641,2.3
642,2.3
643,2.3
644,2.4
645,2.4
646,2.3
647,2.3
648,2.1
649,2.0
650,2.1
651,2.2
652,2.2
653,2.1
654,2.0
655,1.9
656,1.8
657,1.7
658,1.6
659,1.6
660,1.5
661,1.5
662,1.5
663,1.4
664,1.3
665,1.2
666,1.1
667,1.1
668,1.0
669,1.0
670,0.9
671,0.9
672,0.9
673,0.8
674,0.8
675,0.8
676,0.8
677,0.9
678,0.9
679,0.9
680,0.9
681,0.9
682,0.9
683,0.9
684,0.8
685,0.8
686,0.8
687,0.9
688,1.0
689,1.1
690,1.2
691,1.4
692,1.4
693,1.4
694,1.3
695,1.3
696,1.3
697,1.3
698,1.3
699,1.3
700,1.3
701,1.4
702,1.4
703,1.3
704,1.2
705,1.2
706,1.1
707,1.1
708,1.0
709,1.0
710,0.9
711,0.9
712,0.8
713,0.8
714,0.8
715,0.7
716,0.8
717,0.7
718,0.7
719,0.7
720,0.7
721,0.8
722,0.9
723,1.0
724,1.0
725,0.9
726,0.9
727,0.8
728,0.8
729,0.9
730,1.0
731,1.2
732,1.3
733,1.4
734,1.5
735,1.7
736,1.9
737,2.0
738,2.1
739,2.2
740,2.3
741,2.4
742,2.3
743,2.3
744,2.4
745,2.4
746,2.5
747,2.5
748,2.5
749,2.4
750,2.3
751,2.2
752,2.0
753,1.9
754,1.7
755,1.6
756,1.5
757,1.5
758,1.5
759,1.5
760,1.5
761,1.5
762,1.5
763,1.4
764,1.3
765,1.3
766,1.3
767,1.3
768,1.3
769,1.3
770,1.2
771,1.2
772,1.1
773,1.2
774,1.2
775,1.2
776,1.2
777,1.2
778,1.2
779,1.3
780,1.4
781,1.5
782,1.7
783,1.8
784,1.8
785,1.8
786,1.8
787,1.8
788,1.7
789,1.7
790,1.6
791,1.5
792,1.4
793,1.2
794,1.1
795,1.1
796,1.0
797,1.1
798,1.1
799,1.2
800,1.2
801,1.3
802,1.3
803,1.4
804,1.5
805,1.6
806,1.7
807,1.7
808,1.8
809,1.8
810,1.8
811,1.8
812,1.8
813,1.8
814,1.8
815,1.8
816,1.8
817,1.9
818,2.0
819,2.1
820,2.2
821,2.3
822,2.4
823,2.3
824,2.1
825,2.1
826,2.2
827,2.3
828,2.4
829,2.6
830,3.6
831,4.6
832,5.5
833,6.2
834,7.5
835,8.2
836,8.5
837,8.6
838,8.5
839,8.3
840,8.1
841,7.8
842,7.4
843,7.0
844,6.6
845,6.2
846,5.8
847,5.4
848,5.1
849,4.7
850,4.4
851,4.1
852,3.8
853,3.5
854,3.3
855,3.0
856,2.8
857,2.6
858,2.4
859,2.3
860,2.1
861,2.0
862,1.8
863,1.7
864,1.5
865,1.4
866,1.3
867,1.2
868,1.1
869,1.0
870,0.9
871,0.8
872,0.8
873,0.8
874,0.7
875,0.7
876,0.7
877,0.6
878,0.6
879,0.6
880,0.5
881,0.5
882,0.6
883,0.5
884,0.5
885,0.6
886,0.6
887,0.7
888,0.6
889,0.6
890,0.5
891,0.5
892,0.5
893,0.5
894,0.4
895,0.4
896,0.4
897,0.5
898,0.4
899,0.4
900,0.4
901,0.4
902,0.4
903,0.4
904,0.4
905,0.4
906,0.4
907,0.5
908,0.5
909,0.5
910,0.5
911,0.5
912,0.5
913,0.4
914,0.4
915,0.5
916,0.5
917,0.5
918,0.6
919,0.5
920,0.6
921,0.6
922,0.6
923,0.6
924,0.6
925,0.6
926,0.6
927,0.5
928,0.6
929,0.5
930,0.5
931,0.6
932,0.6
933,0.6
934,0.6
935,0.6
936,0.7
937,0.8
938,0.9
939,0.9
940,1.0
941,1.1
942,1.1
943,1.1
944,1.2
945,1.2
946,1.2
947,1.2
948,1.2
949,1.2
950,1.3
951,1.3
952,1.3
953,1.3
954,1.2
955,1.2
956,1.1
957,1.1
958,1.2
959,1.3
960,1.2
961,1.2
962,1.2
963,1.2
964,1.2
965,1.1
966,1.0
967,1.0
968,1.0
969,0.9
970,0.8
971,0.8
972,0.8
973,0.7
974,0.7
975,0.7
976,0.6
977,0.6
978,0.5
979,0.5
980,0.5
981,0.5
982,0.5
983,0.5
984,0.5
985,0.5
986,0.5
987,0.4
988,0.5
989,0.5
990,0.5
991,0.5
992,0.5
993,0.5
994,1.1
995,1.3
996,1.4
997,1.6
998,1.9
999,2.0
1000,2.1
1001,2.1
1002,2.1
1003,2.0
1004,1.9
1005,1.8
1006,1.8
1007,1.8
1008,1.8
1009,1.8
1010,1.8
1011,1.8
1012,1.7
1013,1.6
1014,1.5
1015,1.4
1016,1.3
1017,1.3
1018,1.2
1019,1.3
1020,1.3
1021,1.4
1022,1.4
1023,1.4
1024,1.4
1025,1.8
1026,1.9
1027,2.5
1028,3.0
1029,3.4
1030,3.7
1031,3.8
1032,3.7
1033,3.6
1034,3.4
1035,3.3
1036,3.1
1037,2.9
1038,2.7
1039,2.6
1040,2.5
1041,2.4
1042,2.4
1043,2.3
1044,2.2
1045,2.2
1046,2.2
1047,2.2
1048,2.2
1049,2.0
1050,1.9
1051,1.8
1052,1.7
1053,1.6
1054,1.5
1055,1.5
1056,1.4
1057,1.4
1058,1.3
1059,1.3
1060,1.3
1061,1.3
1062,1.4
1063,1.5
1064,1.6
1065,1.8
1066,2.1
1067,2.4
1068,2.6
1069,2.7
1070,2.7
1071,2.7
1072,2.6
1073,2.5
1074,2.3
1075,2.2
1076,2.0
1077,1.8
1078,1.7
1079,1.6
1080,1.5
1081,1.5
1082,1.5
1083,1.4
1084,1.4
1085,1.4
1086,1.4
1087,1.6
1088,1.8
1089,1.7
1090,1.7
1091,1.6
1092,1.5
1093,1.5
1094,1.6
1095,1.7
1096,1.9
1097,2.0
1098,2.1
1099,2.2
1100,2.2
1101,2.1
1102,2.1
1103,2.1
1104,2.0
1105,1.9
1106,1.8
1107,1.7
1108,1.7
1109,1.6
1110,1.5
1111,1.4
1112,1.3
1113,1.3
1114,1.2
1115,1.2
1116,1.2
1117,1.3
1118,1.3
1119,1.3
1120,1.4
1121,1.4
1122,1.4
1123,1.5
1124,1.5
1125,1.4
1126,1.4
1127,1.4
1128,1.4
1129,1.5
1130,1.5
1131,1.6
1132,1.7
1133,1.8
1134,2.0
1135,2.1
1136,2.3
1137,2.5
1138,2.7
1139,3.0
1140,3.3
1141,3.7
1142,4.1
1143,4.4
1144,4.8
1145,5.1
1146,5.3
1147,5.6
1148,5.7
1149,6.0
1150,6.3
1151,6.5
1152,6.7
1153,7.0
1154,7.7
1155,8.0
1156,7.3
1157,6.7
1158,6.3
1159,6.0
1160,5.6
1161,6.0
1162,6.2
1163,6.3
1164,6.4
1165,6.6
1166,7.3
1167,7.8
1168,8.0
1169,7.8
1170,7.7
1171,7.3
1172,6.9
1173,6.5
1174,6.0
1175,5.5
1176,5.0
1177,4.7
1178,4.4
1179,4.1
1180,3.8
1181,3.5
1182,3.2
1183,3.0
1184,2.8
1185,2.7
1186,2.6
1187,2.5
1188,2.5
1189,2.5
1190,2.4
1191,2.3
1192,2.3
1193,2.2
1194,2.2
1195,2.1
1196,2.2
1197,2.1
1198,2.1
1199,2.0
1200,1.9
1201,2.0
1202,2.1
1203,2.3
1204,2.5
1205,2.7
1206,2.9
1207,3.0
1208,3.2
1209,3.4
1210,3.7
1211,3.8
1212,3.7
1213,3.6
1214,3.4
1215,3.2
1216,3.0
1217,2.8
1218,2.7
1219,2.5
1220,2.4
1221,2.3
1222,2.2
1223,2.0
1224,1.9
1225,1.8
1226,1.7
1227,1.6
1228,1.6
1229,1.6
1230,1.6
1231,1.5
1232,1.5
1233,1.4
1234,1.3
1235,1.2
1236,1.1
1237,1.0
1238,0.9
1239,0.9
1240,0.8
1241,0.8
1242,0.8
1243,0.7
1244,0.7
1245,0.8
1246,0.7
1247,0.7
1248,0.8
1249,0.8
1250,0.8
1251,0.8
1252,0.8
1253,0.9
1254,0.9
1255,0.8
1256,0.9
1257,1.0
1258,1.0
1259,1.1
1260,1.1
1261,1.3
1262,1.5
1263,1.5
1264,1.5
1265,1.5
1266,1.5
1267,1.4
1268,1.4
1269,1.4
1270,1.4
1271,1.4
1272,1.5
1273,1.5
1274,1.6
1275,1.6
1276,1.7
1277,1.7
1278,1.7
1279,1.8
1280,1.8
1281,1.8
1282,1.8
1283,1.8
1284,1.8
1285,1.8
1286,1.9
1287,1.9
1288,1.9
1289,1.8
1290,1.8
1291,1.6
1292,1.6
1293,1.5
1294,1.5
1295,1.4
1296,1.4
1297,1.4
1298,1.4
1299,1.4
1300,1.4
1301,1.4
1302,1.4
1303,1.3
1304,1.3
1305,1.2
1306,1.2
1307,1.1
1308,1.1
1309,1.1
1310,1.1
1311,1.1
1312,1.0
1313,0.9
1314,0.9
1315,0.9
1316,0.8
1317,0.8
1318,0.9
1319,1.0
1320,1.0
1321,0.9
1322,0.9
1323,0.9
1324,0.9
1325,0.9
1326,0.9
1327,0.9
1328,0.9
1329,1.0
1330,1.1
1331,1.1
1332,1.1
1333,1.0
1334,0.9
1335,0.9
1336,0.9
1337,0.9
1338,0.9
1339,0.8
1340,0.9
1341,0.9
1342,0.9
1343,0.9
1344,0.9
1345,1.0
1346,1.0
1347,0.9
1348,0.9
1349,0.8
1350,0.8
1351,0.8
1352,0.8
1353,0.9
1354,0.9
1355,0.8
1356,0.8
1357,0.8
1358,0.7
1359,0.7
1360,0.8
1361,0.7
1362,0.7
1363,0.7
1364,0.7
1365,0.8
1366,0.8
1367,0.8
1368,0.7
1369,0.7
1370,0.8
1371,0.9
1372,1.0
1373,1.0
1374,1.0
1375,1.0
1376,0.9
1377,0.9
1378,0.9
1379,0.9
1380,0.9
1381,0.8
1382,0.8
1383,0.8
1384,0.8
1385,0.9
1386,0.9
1387,0.9
1388,0.9
1389,1.0
1390,1.0
1391,1.1
1392,1.1
1393,1.2
1394,1.2
1395,1.2
1396,1.2
1397,1.2
1398,1.2
1399,1.2
1400,1.2
1401,1.2
1402,1.4
1403,1.6
1404,1.6
1405,1.7
1406,1.6
1407,1.5
1408,1.6
1409,1.7
1410,2.0
1411,2.5
1412,3.0
1413,3.9
1414,5.0
1415,5.9
1416,6.3
1417,6.7
1418,7.4
1419,8.1
1420,8.9
1421,9.1
1422,9.7
1423,9.8
1424,9.7
1425,10.1
1426,10.0
1427,10.5
1428,10.6
1429,11.0
1430,11.5
1431,11.8
1432,12.0
1433,12.1
1434,12.4
1435,12.7
1436,12.8
1437,12.8
1438,12.8
1439,13.1
1440,13.3
1441,13.2
1442,12.9
1443,12.3
1444,11.7
1445,11.0
1446,10.3
1447,9.7
1448,9.0
1449,8.3
1450,7.7
1451,7.1
1452,6.5
1453,5.9
1454,5.4
1455,4.9
1456,4.4
1457,4.0
1458,3.6
1459,3.3
1460,3.0
1461,2.7
1462,2.5
1463,2.3
1464,2.1
1465,1.9
1466,1.8
1467,1.6
1468,1.5
1469,1.4
1470,1.3
1471,1.2
1472,1.1
1473,1.1
1474,1.0
1475,1.0
1476,1.0
1477,1.0
1478,0.9
1479,0.9
1480,0.9
1481,0.8
1482,0.8
1483,0.8
1484,0.8
1485,0.8
1486,0.8
1487,0.7
1488,0.7
1489,0.7
1490,0.7
1491,0.7
1492,0.7
1493,0.7
1494,0.7
1495,0.7
1496,0.7
1497,0.7
1498,0.7
1499,0.7
1500,0.7
1501,0.7
1502,0.8
1503,0.7
1504,0.7
1505,0.6
1506,0.6
1507,0.5
1508,0.5
1509,0.5
1510,0.5
1511,0.5
1512,0.5
1513,0.4
1514,0.4
1515,0.4
1516,0.4
1517,0.4
1518,0.4
1519,0.4
1520,0.4
1521,0.4
1522,0.4
1523,0.4
1524,0.5
1525,0.5
1526,0.5
1527,0.5
1528,0.5
1529,0.5
1530,0.6
1531,0.5
1532,0.5
1533,0.6
1534,0.6
1535,0.6
1536,0.6
1537,0.6
1538,0.5
1539,0.5
1540,0.6
1541,0.6
1542,0.6
1543,0.7
1544,0.7
1545,0.7
1546,0.7
1547,0.7
1548,0.7
1549,0.6
1550,0.6
1551,0.6
1552,0.5
1553,0.5
1554,0.5
1555,0.5
1556,0.5
1557,0.5
1558,0.5
1559,0.4
1560,0.5
1561,0.4
1562,0.4
1563,0.4
1564,0.4
1565,0.4
1566,0.4
1567,0.4
1568,0.5
1569,0.6
1570,0.6
1571,0.6
1572,0.7
1573,0.7
1574,0.7
1575,0.8
1576,0.8
1577,0.8
1578,0.8
1579,0.9
1580,0.9
1581,0.9
1582,0.9
1583,0.9
1584,0.9
1585,0.9
1586,0.9
1587,0.9
1588,0.9
1589,0.8
1590,0.8
1591,0.8
1592,0.8
1593,0.9
1594,0.9
1595,0.8
1596,0.9
1597,0.8
1598,0.8
1599,0.7
1600,0.8
1601,0.7
1602,0.7
1603,0.6
1604,0.6
1605,0.6
1606,0.6
1607,0.6
1608,0.6
1609,0.5
1610,0.5
1611,0.6
1612,0.5
1613,0.5
1614,0.5
1615,0.5
1616,0.5
1617,0.5
1618,0.5
1619,0.5
1620,0.5
1621,0.6
1622,0.6
1623,0.6
1624,0.6
1625,0.7
1626,0.6
1627,0.6
1628,0.6
1629,0.6
1630,0.6
1631,0.7
1632,0.7
1633,0.7
1634,0.7
1635,0.8
1636,0.8
1637,0.8
1638,0.8
1639,0.8
1640,0.7
1641,0.8
1642,0.7
1643,0.7
1644,0.7
1645,0.7
1646,0.7
1647,0.7
1648,0.7
1649,0.7
1650,0.7
1651,0.6
1652,0.6
1653,0.6
1654,0.6
1655,0.6
1656,0.6
1657,0.6
1658,0.6
1659,0.6
1660,0.6
1661,0.6
1662,0.7
1663,0.6
1664,0.6
1665,0.6
1666,0.6
1667,0.6
1668,0.6
1669,0.6
1670,0.6
1671,0.6
1672,0.6
1673,0.6
1674,0.6
1675,0.6
1676,0.7
1677,0.6
1678,0.6
1679,0.6
1680,0.6
1681,0.6
1682,0.6
1683,0.6
1684,0.7
1685,0.6
1686,0.6
1687,0.6
1688,0.7
1689,0.7
1690,0.7
1691,0.7
1692,0.7
1693,0.7
1694,0.7
1695,0.7
1696,0.7
1697,0.8
1698,0.7
1699,0.7
1700,0.7
1701,0.7
